countries,total_collected_msw_(t),food,garden,paper,plastic,glass,metal,rubber_and_leather,textile,other,scenario,co₂_emissions_reduction_potential
Iraq,10716520.5483203,68.90672016048146,1.785356068204614,9.62888665997994,5.305917753259779,2.30692076228686,0.9829488465396188,5.105315947843531,0.0,6.018054162487462,All strategies (C),-0.8786466073466112
Iraq,10716520.5483203,68.90672016048146,1.785356068204614,9.62888665997994,5.305917753259779,2.30692076228686,0.9829488465396188,5.105315947843531,0.0,6.018054162487462,All strategies (D),-0.8786466073466112
Italy,30117540.455245346,34.43443443443443,3.8038038038038033,22.822822822822825,11.611611611611613,7.607607607607607,4.304304304304304,0.0,0.0,15.415415415415415,Compost organics,-0.1962734558034161
Italy,30117540.455245346,34.43443443443443,3.8038038038038033,22.822822822822825,11.611611611611613,7.607607607607607,4.304304304304304,0.0,0.0,15.415415415415415,Digest organics,-0.1962734558034161
Italy,30117540.455245346,34.43443443443443,3.8038038038038033,22.822822822822825,11.611611611611613,7.607607607607607,4.304304304304304,0.0,0.0,15.415415415415415,Retrofit landfill,-0.0037882365865951
Italy,30117540.455245346,34.43443443443443,3.8038038038038033,22.822822822822825,11.611611611611613,7.607607607607607,4.304304304304304,0.0,0.0,15.415415415415415,Half waste,-0.5
Italy,30117540.455245346,34.43443443443443,3.8038038038038033,22.822822822822825,11.611611611611613,7.607607607607607,4.304304304304304,0.0,0.0,15.415415415415415,Compost + retrofit,-0.1993178383918631
Italy,30117540.455245346,34.43443443443443,3.8038038038038033,22.822822822822825,11.611611611611613,7.607607607607607,4.304304304304304,0.0,0.0,15.415415415415415,Digest + retrofit,-0.1993178383918631
Italy,30117540.455245346,34.43443443443443,3.8038038038038033,22.822822822822825,11.611611611611613,7.607607607607607,4.304304304304304,0.0,0.0,15.415415415415415,All strategies (C) ,-0.5996589191959316
Italy,30117540.455245346,34.43443443443443,3.8038038038038033,22.822822822822825,11.611611611611613,7.607607607607607,4.304304304304304,0.0,0.0,15.415415415415415,All strategies (D),-0.5996589191959316
Japan,44077471.48167736,36.0,4.0,33.0,11.0,5.0,4.0,1.0,0.0,6.0,Compost organics,-0.396973396862448
Japan,44077471.48167736,36.0,4.0,33.0,11.0,5.0,4.0,1.0,0.0,6.0,Digest organics,-0.396973396862448
Japan,44077471.48167736,36.0,4.0,33.0,11.0,5.0,4.0,1.0,0.0,6.0,Retrofit landfill,-0.0008059517859488
Japan,44077471.48167736,36.0,4.0,33.0,11.0,5.0,4.0,1.0,0.0,6.0,Half waste,-0.5
Japan,44077471.48167736,36.0,4.0,33.0,11.0,5.0,4.0,1.0,0.0,6.0,Compost + retrofit,-0.3974593979394021
Japan,44077471.48167736,36.0,4.0,33.0,11.0,5.0,4.0,1.0,0.0,6.0,Digest + retrofit,-0.3974593979394021
Japan,44077471.48167736,36.0,4.0,33.0,11.0,5.0,4.0,1.0,0.0,6.0,All strategies (C),-0.698729698969701
Japan,44077471.48167736,36.0,4.0,33.0,11.0,5.0,4.0,1.0,0.0,6.0,All strategies (D),-0.698729698969701
"Korea, Rep.",22363590.919600222,29.5,4.0,19.2,13.7,4.85,4.85,2.1,0.0,21.80000000000001,Compost organics,-0.3349758250459371
"Korea, Rep.",22363590.919600222,29.5,4.0,19.2,13.7,4.85,4.85,2.1,0.0,21.80000000000001,Digest organics,-0.3349758250459371
"Korea, Rep.",22363590.919600222,29.5,4.0,19.2,13.7,4.85,4.85,2.1,0.0,21.80000000000001,Retrofit landfill,0.0
"Korea, Rep.",22363590.919600222,29.5,4.0,19.2,13.7,4.85,4.85,2.1,0.0,21.80000000000001,Half waste,-0.5
"Korea, Rep.",22363590.919600222,29.5,4.0,19.2,13.7,4.85,4.85,2.1,0.0,21.80000000000001,Compost + retrofit,-0.3349758250459371
"Korea, Rep.",22363590.919600222,29.5,4.0,19.2,13.7,4.85,4.85,2.1,0.0,21.80000000000001,Digest + retrofit,-0.3349758250459371
"Korea, Rep.",22363590.919600222,29.5,4.0,19.2,13.7,4.85,4.85,2.1,0.0,21.80000000000001,All strategies (C) ,-0.6674879125229686
"Korea, Rep.",22363590.919600222,29.5,4.0,19.2,13.7,4.85,4.85,2.1,0.0,21.80000000000001,All strategies (D),-0.6674879125229686
Malaysia,10017072.166666666,44.5,7.14,8.5,13.0,3.0,2.0,3.1,0.0,18.8,Compost organics,-0.4523949027467306
Malaysia,10017072.166666666,44.5,7.14,8.5,13.0,3.0,2.0,3.1,0.0,18.8,Digest organics,-0.4523949027467306
Malaysia,10017072.166666666,44.5,7.14,8.5,13.0,3.0,2.0,3.1,0.0,18.8,Retrofit landfill,-0.2985910776769805
Malaysia,10017072.166666666,44.5,7.14,8.5,13.0,3.0,2.0,3.1,0.0,18.8,Half waste,-0.5
Malaysia,10017072.166666666,44.5,7.14,8.5,13.0,3.0,2.0,3.1,0.0,18.8,Compost + retrofit,-0.5969129843423893
